Brand/Title,Platform,Date,Campaign,Optimization,Change(s),Optimization Score,Results/Next step,Date Change(s) was made,Optimization made by
Omega Global,Social,2024-10-11,PDD_Awareness_Premium_Jun22,Increased bid for top performing keywords by 25%,"Previous bid: $1.50, New bid: $2.00",94%,Implemented successfully,2024-10-11,Alex K.
Nexus Holdings,SEM,2024-01-05,LH_Retargeting_Seasonal_Apr23,Paused creative Version 3 and launched new variant,Updated ad copy and CTAs,89%,Under observation,2024-01-05,Mike R.
Beta Media,SEM,2024-09-28,VBI_Brand_Value_Q122,Adjusted Mobile device bid by 15%,Adjusted age targeting by +10%,96%,Implemented successfully,2024-09-28,Mike R.
Vector Partners,SEM,2024-08-20,NGX_Prospecting_Value_Q322,Paused ad group Group 2 due to high CPA,Updated campaign targeting settings,89%,Implemented successfully,2024-08-20,Emma L.
Echo Ventures,SEM,2024-10-15,ESJ_Engagement_General_Jul22,Created 2 new ad variations for testing,Updated ad copy and CTAs,88%,Under observation,2024-10-15,Emma L.
Beta International,Bing,2024-07-24,FX_Awareness_Seasonal_Oct23,Adjusted daily budget from $294 to $449,Redistributed budget across campaigns,100%,Under observation,2024-07-24,Alex K.
Apex Systems,Social,2024-07-10,WZH_Conversion_General_Jun23,Updated CPA target from $87 to $25,Daily budget adjusted from $200 to $300,96%,Implemented successfully,2024-07-10,Emma L.
Omega Solutions,SEM,2024-04-08,TO_Conversion_Seasonal_Dec24,Updated CPA target from $79 to $50,Daily budget adjusted from $200 to $300,95%,Under observation,2024-04-08,Sarah M.
Peak Technologies,SEM,2023-12-28,XF_Retargeting_Value_Dec23,Increased bid for top performing keywords by 25%,"Previous bid: $1.50, New bid: $2.00",99%,Under observation,2023-12-28,Mike R.
Beta Media,Bing,2023-12-06,VBI_Engagement_Value_Q322,Increased bid for top performing keywords by 25%,Modified CPC target from $5 to $6,91%,Implemented successfully,2023-12-06,John D.
Gamma Ventures,Bing,2024-06-03,QK_Brand_Value_Aug22,Added 46 negative keywords,Added 25 negative keywords,88%,Under observation,2024-06-03,Mike R.
Echo Brand,Social,2024-10-16,BW_Prospecting_Value_Oct24,Decreased bid for age group 65+ by -5%,Adjusted age targeting by +10%,93%,Under observation,2024-10-16,John D.
Omega Solutions,Social,2024-06-09,TO_Prospecting_Seasonal_Q224,Created 4 new ad variations for testing,Created 3 new ad variations,99%,Under observation,2024-06-09,Sarah M.
Beta International,SEM,2024-01-18,FX_Retargeting_Premium_Oct22,Created 3 new ad variations for testing,Created 3 new ad variations,99%,Implemented successfully,2024-01-18,John D.
Alpha Group,Bing,2024-09-11,VQW_Awareness_Special_Mar22,Decreased bid for age group 18-24 by -10%,"Previous bid: $1.50, New bid: $2.00",85%,Implemented successfully,2024-09-11,Emma L.
Omega Solutions,Bing,2024-06-11,TO_Brand_Value_Jan22,Updated CPA target from $81 to $75,Redistributed budget across campaigns,87%,Under observation,2024-06-11,John D.
Echo Ventures,Bing,2024-09-09,ESJ_Prospecting_Seasonal_Jun24,Decreased bid for age group 65+ by -10%,Adjusted age targeting by +10%,86%,Under observation,2024-09-09,John D.
Sigma Holdings,Social,2024-07-16,EY_Engagement_Value_Q124,Increased bid for top performing keywords by 10%,Modified CPC target from $5 to $6,86%,Implemented successfully,2024-07-16,Sarah M.
Omega Global,Bing,2024-10-11,PDD_Prospecting_Seasonal_Jun24,Decreased bid for age group 18-24 by -5%,Adjusted age targeting by +10%,91%,Under observation,2024-10-11,Sarah M.
Nexus Holdings,SEM,2024-06-10,LH_Prospecting_General_May22,Created 5 new ad variations for testing,Updated ad copy and CTAs,85%,Under observation,2024-06-10,John D.
Prime Direct,SEM,2024-01-23,UWK_Conversion_Value_Q222,Created 3 new ad variations for testing,Created 3 new ad variations,87%,Under observation,2024-01-23,Sarah M.
Core Global,SEM,2024-10-05,AYN_Retargeting_Premium_Aug23,Paused creative Version 1 and launched new variant,Created 3 new ad variations,86%,Implemented successfully,2024-10-05,John D.
Sigma Solutions,SEM,2024-01-17,CL_Retargeting_General_Jan23,Adjusted Tablet device bid by -10%,"Previous bid: $1.50, New bid: $2.00",91%,Under observation,2024-01-17,Emma L.
Peak Technologies,SEM,2024-05-06,XF_Brand_Value_Aug22,Paused ad group Group 5 due to high CPA,Added 25 negative keywords,95%,Under observation,2024-05-06,Mike R.
Apex Select,Social,2024-11-14,LYY_Conversion_Special_Jul22,Paused ad group Group 4 due to high CPA,Added 25 negative keywords,86%,Under observation,2024-11-14,Alex K.
Echo Ventures,SEM,2024-07-30,ESJ_Retargeting_Seasonal_Feb24,Increased bid for top performing keywords by 10%,"Previous bid: $1.50, New bid: $2.00",94%,Under observation,2024-07-30,Emma L.
Orion Systems,Social,2024-10-16,FSG_Engagement_General_Jun24,Created 5 new ad groups with focused keywords,Added 25 negative keywords,90%,Under observation,2024-10-16,John D.
Core Select,Social,2024-10-10,WWJ_Prospecting_Special_Apr24,Decreased bid for age group 18-24 by -5%,"Previous bid: $1.50, New bid: $2.00",91%,Under observation,2024-10-10,Alex K.
Sigma Media,Bing,2024-07-18,RG_Conversion_Special_Aug22,Paused ad group Group 3 due to high CPA,Added 25 negative keywords,91%,Under observation,2024-07-18,Sarah M.
Vector Holdings,Bing,2024-02-13,KO_Retargeting_Special_Mar24,Paused ad group Group 3 due to high CPA,Created 3 new ad groups,91%,Under observation,2024-02-13,Mike R.
Sigma Solutions,Bing,2023-12-20,CL_Brand_General_Mar23,Increased bid for top performing keywords by 5%,Adjusted age targeting by +10%,88%,Under observation,2023-12-20,Sarah M.
Iris Enterprises,Bing,2024-03-04,YCZ_Conversion_General_Jun23,Created 3 new ad variations for testing,Created 3 new ad variations,95%,Under observation,2024-03-04,Sarah M.
Atlas Industries,SEM,2024-03-15,FR_Conversion_Special_Aug24,Created 2 new ad variations for testing,Updated ad copy and CTAs,89%,Under observation,2024-03-15,Alex K.
Sigma Solutions,SEM,2024-06-02,CL_Awareness_Value_May23,Paused creative Version 3 and launched new variant,Updated ad copy and CTAs,91%,Under observation,2024-06-02,John D.
Nexus International,Social,2024-01-19,EF_Awareness_Value_May23,Created 3 new ad groups with focused keywords,Created 3 new ad groups,92%,Implemented successfully,2024-01-19,Alex K.
Alpha Corp,Social,2024-01-07,BF_Brand_General_Mar23,Added 41 negative keywords,Added 25 negative keywords,100%,Implemented successfully,2024-01-07,Mike R.
Gamma Brand,Social,2024-03-29,OS_Conversion_Special_Oct24,Added 24 negative keywords,Updated campaign targeting settings,89%,Implemented successfully,2024-03-29,John D.
Atlas Industries,Bing,2024-07-21,FR_Retargeting_Value_Mar22,Adjusted Mobile device bid by 5%,Modified CPC target from $5 to $6,97%,Under observation,2024-07-21,John D.
Iris Enterprises,Bing,2024-01-05,YCZ_Awareness_Seasonal_Oct23,Paused ad group Group 4 due to high CPA,Added 25 negative keywords,89%,Under observation,2024-01-05,Sarah M.
Iris Group,Social,2024-10-31,YC_Brand_Special_Q223,Created 2 new ad variations for testing,Updated ad copy and CTAs,99%,Implemented successfully,2024-10-31,Emma L.
Core Select,Bing,2024-11-18,WWJ_Brand_Value_Jan22,Paused creative Version 4 and launched new variant,Updated ad copy and CTAs,86%,Under observation,2024-11-18,Mike R.
Alpha Industries,Bing,2023-12-22,YD_Awareness_Special_Aug24,Updated CPA target from $26 to $34,Redistributed budget across campaigns,96%,Under observation,2023-12-22,John D.
Sigma Holdings,Bing,2024-10-20,EY_Retargeting_General_May24,Paused ad group Group 5 due to high CPA,Updated campaign targeting settings,91%,Under observation,2024-10-20,Mike R.
Vector Partners,Bing,2024-09-16,NGX_Engagement_General_Jul22,Paused creative Version 3 and launched new variant,Updated ad copy and CTAs,93%,Under observation,2024-09-16,Emma L.
Omega Solutions,Social,2024-06-01,TO_Brand_Seasonal_Jun24,Decreased bid for age group 55-64 by -5%,"Previous bid: $1.50, New bid: $2.00",100%,Implemented successfully,2024-06-01,Alex K.
Echo Brand,Bing,2024-11-02,BW_Brand_Seasonal_Q424,Adjusted daily budget from $196 to $334,Daily budget adjusted from $200 to $300,87%,Under observation,2024-11-02,Sarah M.
Echo Brand,Social,2024-02-16,BW_Prospecting_General_Sep23,Adjusted Mobile device bid by 5%,"Previous bid: $1.50, New bid: $2.00",91%,Under observation,2024-02-16,John D.
Echo Brand,Social,2024-07-23,BW_Brand_Value_May22,Created 2 new ad groups with focused keywords,Created 3 new ad groups,91%,Under observation,2024-07-23,Sarah M.
Vector Direct,Social,2024-09-15,NRI_Brand_General_Dec23,Created 5 new ad variations for testing,Updated ad copy and CTAs,99%,Under observation,2024-09-15,Sarah M.
Omega Global,Social,2024-03-19,PDD_Prospecting_General_Feb22,Updated CPA target from $26 to $38,Redistributed budget across campaigns,94%,Under observation,2024-03-19,Sarah M.
Alpha Corp,Bing,2024-02-21,BF_Retargeting_Value_Jul22,Added 19 negative keywords,Added 25 negative keywords,92%,Under observation,2024-02-21,Mike R.
Orion Systems,SEM,2024-05-31,FSG_Awareness_Value_Oct24,Adjusted daily budget from $440 to $262,Redistributed budget across campaigns,89%,Under observation,2024-05-31,Alex K.
Alpha Corp,Social,2023-12-06,BF_Retargeting_General_Jan23,Increased bid for top performing keywords by 20%,Adjusted age targeting by +10%,89%,Under observation,2023-12-06,Alex K.
Nova Technologies,Social,2024-07-23,BRI_Awareness_Value_Mar23,Adjusted daily budget from $389 to $473,Redistributed budget across campaigns,95%,Under observation,2024-07-23,Emma L.
Alpha Group,SEM,2024-04-29,QJJ_Awareness_Premium_Jun24,Adjusted Mobile device bid by 5%,Adjusted age targeting by +10%,87%,Under observation,2024-04-29,Alex K.
Sigma Corp,SEM,2024-03-03,PZR_Retargeting_Premium_May23,Updated CPA target from $31 to $85,Redistributed budget across campaigns,91%,Under observation,2024-03-03,Alex K.
Nova Technologies,SEM,2024-06-14,BRI_Engagement_General_Apr23,Updated CPA target from $67 to $69,Redistributed budget across campaigns,85%,Under observation,2024-06-14,Mike R.
Omega Global,Bing,2024-03-13,PDD_Retargeting_Value_Jul24,Adjusted Desktop device bid by 5%,Adjusted age targeting by +10%,90%,Implemented successfully,2024-03-13,Emma L.
Atlas Industries,SEM,2024-02-05,FR_Conversion_Value_Apr23,Decreased bid for age group 55-64 by -10%,"Previous bid: $1.50, New bid: $2.00",97%,Under observation,2024-02-05,Emma L.
Omega Solutions,Social,2024-09-03,TO_Awareness_Seasonal_Aug24,Added 18 negative keywords,Added 25 negative keywords,90%,Implemented successfully,2024-09-03,Mike R.
Core Global,Social,2024-09-18,AYN_Retargeting_General_Apr22,Updated CPA target from $48 to $23,Daily budget adjusted from $200 to $300,89%,Under observation,2024-09-18,Emma L.
Gamma Ventures,Social,2024-02-23,QK_Prospecting_Value_Feb23,Paused creative Version 1 and launched new variant,Created 3 new ad variations,93%,Under observation,2024-02-23,John D.
Sigma Holdings,Bing,2024-04-04,EY_Conversion_Special_Aug24,Created 2 new ad variations for testing,Updated ad copy and CTAs,85%,Implemented successfully,2024-04-04,Sarah M.
Nexus International,Bing,2024-07-17,EF_Conversion_Special_Q123,Updated CPA target from $40 to $26,Redistributed budget across campaigns,96%,Under observation,2024-07-17,Mike R.
Nexus International,Bing,2024-08-21,EF_Retargeting_Premium_Dec23,Adjusted daily budget from $492 to $421,Daily budget adjusted from $200 to $300,88%,Under observation,2024-08-21,Sarah M.
Peak Technologies,Bing,2024-04-10,XF_Retargeting_General_Jan22,Updated CPA target from $32 to $88,Redistributed budget across campaigns,89%,Under observation,2024-04-10,Alex K.
Echo Brand,Social,2024-06-21,BW_Brand_Special_Q223,Paused creative Version 2 and launched new variant,Created 3 new ad variations,92%,Implemented successfully,2024-06-21,Alex K.
Vector Direct,SEM,2024-07-16,NRI_Awareness_Value_Jun23,Paused creative Version 1 and launched new variant,Updated ad copy and CTAs,96%,Under observation,2024-07-16,Mike R.
Orion Systems,Bing,2024-02-20,FSG_Conversion_Value_Apr23,Adjusted daily budget from $481 to $160,Daily budget adjusted from $200 to $300,89%,Implemented successfully,2024-02-20,Sarah M.
Gamma Direct,SEM,2024-03-10,HP_Engagement_Premium_May24,Created 2 new ad groups with focused keywords,Added 25 negative keywords,85%,Implemented successfully,2024-03-10,Emma L.
Alpha Group,Bing,2023-12-10,RV_Prospecting_Special_Jan22,Adjusted Mobile device bid by 5%,"Previous bid: $1.50, New bid: $2.00",93%,Under observation,2023-12-10,Mike R.
Gamma Brand,SEM,2024-09-27,GDC_Brand_General_Nov22,Increased bid for top performing keywords by 10%,Modified CPC target from $5 to $6,96%,Under observation,2024-09-27,Sarah M.
Omega Solutions,Bing,2024-02-14,TO_Engagement_Premium_Jan24,Adjusted daily budget from $358 to $391,Daily budget adjusted from $200 to $300,88%,Implemented successfully,2024-02-14,John D.
Vector Direct,SEM,2024-04-16,NRI_Awareness_Value_Mar23,Added 10 negative keywords,Updated campaign targeting settings,88%,Implemented successfully,2024-04-16,Alex K.
Vector Holdings,Bing,2024-07-06,KO_Awareness_Premium_Oct23,Paused ad group Group 3 due to high CPA,Created 3 new ad groups,98%,Under observation,2024-07-06,Sarah M.
Atlas Industries,Social,2024-01-26,FR_Prospecting_General_Sep23,Adjusted daily budget from $353 to $490,Redistributed budget across campaigns,94%,Under observation,2024-01-26,John D.
Iris Group,Social,2024-01-22,YC_Retargeting_Value_Jun23,Created 4 new ad variations for testing,Updated ad copy and CTAs,92%,Under observation,2024-01-22,Mike R.
Apex Systems,Bing,2024-07-24,WZH_Awareness_Premium_Apr22,Increased bid for top performing keywords by 5%,Modified CPC target from $5 to $6,100%,Under observation,2024-07-24,Emma L.
Iris Enterprises,Social,2024-02-05,YCZ_Awareness_Premium_Jun24,Adjusted Tablet device bid by -15%,Modified CPC target from $5 to $6,90%,Under observation,2024-02-05,Sarah M.
Prime Direct,SEM,2024-01-25,UWK_Brand_Seasonal_Q322,Created 5 new ad variations for testing,Updated ad copy and CTAs,93%,Implemented successfully,2024-01-25,Emma L.
Quantum Select,Bing,2024-07-29,WZ_Prospecting_Value_Aug24,Paused creative Version 4 and launched new variant,Created 3 new ad variations,88%,Under observation,2024-07-29,Emma L.
Gamma Direct,Bing,2024-01-13,HP_Conversion_Premium_Q122,Increased bid for top performing keywords by 20%,Modified CPC target from $5 to $6,85%,Implemented successfully,2024-01-13,Emma L.
Peak Technologies,Bing,2024-10-07,XF_Conversion_Premium_Sep24,Adjusted daily budget from $438 to $484,Redistributed budget across campaigns,99%,Under observation,2024-10-07,Emma L.
Core Global,Bing,2024-08-26,AYN_Retargeting_Special_Jul23,Adjusted daily budget from $320 to $160,Redistributed budget across campaigns,99%,Under observation,2024-08-26,Emma L.
Iris Enterprises,SEM,2023-12-10,YCZ_Retargeting_General_Nov22,Adjusted Desktop device bid by 15%,"Previous bid: $1.50, New bid: $2.00",100%,Under observation,2023-12-10,Mike R.
Echo Ventures,Bing,2024-09-10,ESJ_Conversion_Value_Q124,Adjusted Tablet device bid by 15%,Modified CPC target from $5 to $6,100%,Under observation,2024-09-10,Sarah M.
Nova Technologies,Social,2024-04-06,BRI_Brand_Value_Q122,Created 4 new ad variations for testing,Updated ad copy and CTAs,95%,Under observation,2024-04-06,Alex K.
Alpha Group,Bing,2024-05-20,QJJ_Brand_General_Oct22,Adjusted daily budget from $491 to $420,Redistributed budget across campaigns,97%,Under observation,2024-05-20,Mike R.
Quantum Select,Bing,2023-12-22,WZ_Retargeting_Premium_Aug23,Adjusted daily budget from $220 to $431,Redistributed budget across campaigns,87%,Implemented successfully,2023-12-22,John D.
Omega Global,SEM,2024-02-18,PDD_Engagement_Premium_Apr24,Updated CPA target from $24 to $78,Redistributed budget across campaigns,98%,Under observation,2024-02-18,Emma L.
Nexus Holdings,Social,2024-09-11,LH_Prospecting_Value_Dec23,Paused creative Version 4 and launched new variant,Created 3 new ad variations,91%,Under observation,2024-09-11,Alex K.
Prime Direct,Social,2024-05-28,UWK_Brand_Value_Q424,Updated CPA target from $29 to $88,Daily budget adjusted from $200 to $300,94%,Under observation,2024-05-28,Mike R.
Beta International,SEM,2024-09-15,FX_Brand_Value_Q122,Decreased bid for age group 35-44 by -15%,Modified CPC target from $5 to $6,100%,Under observation,2024-09-15,Mike R.
Beta Global,Bing,2024-07-02,BPN_Retargeting_Premium_Oct22,Updated CPA target from $45 to $73,Redistributed budget across campaigns,93%,Under observation,2024-07-02,Emma L.
Core Select,Social,2024-09-14,WWJ_Retargeting_Seasonal_Q423,Added 39 negative keywords,Created 3 new ad groups,98%,Implemented successfully,2024-09-14,John D.
Vector Direct,SEM,2024-07-17,NRI_Awareness_Seasonal_Jul22,Adjusted daily budget from $482 to $450,Redistributed budget across campaigns,98%,Under observation,2024-07-17,John D.
Alpha Industries,Bing,2024-04-18,YD_Brand_Special_Q223,Updated CPA target from $96 to $50,Redistributed budget across campaigns,92%,Under observation,2024-04-18,Sarah M.
Nexus Holdings,Social,2024-07-18,LH_Brand_Premium_Oct24,Updated CPA target from $74 to $24,Daily budget adjusted from $200 to $300,90%,Under observation,2024-07-18,John D.
Beta Media,SEM,2024-10-18,VBI_Awareness_Special_Jul24,Created 2 new ad groups with focused keywords,Added 25 negative keywords,87%,Under observation,2024-10-18,Mike R.
Beta Global,Bing,2024-11-01,BPN_Engagement_Value_Q322,Updated CPA target from $37 to $50,Daily budget adjusted from $200 to $300,88%,Under observation,2024-11-01,Alex K.
Vector Direct,SEM,2024-01-09,NRI_Engagement_Seasonal_Jan22,Paused creative Version 3 and launched new variant,Updated ad copy and CTAs,97%,Implemented successfully,2024-01-09,Sarah M.
Apex Systems,SEM,2024-01-17,WZH_Retargeting_Seasonal_Q423,Created 5 new ad groups with focused keywords,Created 3 new ad groups,93%,Implemented successfully,2024-01-17,John D.
Core Global,Bing,2024-05-04,AYN_Awareness_Premium_Q124,Decreased bid for age group 65+ by -15%,Adjusted age targeting by +10%,89%,Under observation,2024-05-04,Mike R.
Omega Global,SEM,2024-10-28,PDD_Prospecting_Value_Feb23,Adjusted Mobile device bid by -5%,Modified CPC target from $5 to $6,97%,Under observation,2024-10-28,Mike R.
Gamma Ventures,SEM,2024-06-09,QK_Awareness_Special_Apr24,Created 4 new ad variations for testing,Created 3 new ad variations,92%,Under observation,2024-06-09,Sarah M.
Iris Enterprises,Social,2023-12-11,YCZ_Retargeting_Seasonal_Oct24,Paused creative Version 4 and launched new variant,Updated ad copy and CTAs,98%,Implemented successfully,2023-12-11,Mike R.
Apex Systems,Social,2024-11-15,WZH_Retargeting_Seasonal_Apr23,Paused ad group Group 3 due to high CPA,Created 3 new ad groups,95%,Under observation,2024-11-15,John D.
Nexus International,SEM,2024-10-17,EF_Brand_Value_Jan22,Created 3 new ad variations for testing,Updated ad copy and CTAs,95%,Under observation,2024-10-17,John D.
Alpha Corp,Bing,2024-09-23,BF_Retargeting_Value_Dec23,Created 5 new ad groups with focused keywords,Created 3 new ad groups,89%,Under observation,2024-09-23,Alex K.
Peak Technologies,Social,2024-01-06,XF_Awareness_Premium_Apr22,Paused ad group Group 4 due to high CPA,Created 3 new ad groups,92%,Under observation,2024-01-06,John D.
Gamma Direct,Social,2024-03-04,HP_Brand_Seasonal_Aug22,Paused creative Version 1 and launched new variant,Updated ad copy and CTAs,98%,Under observation,2024-03-04,Sarah M.
Iris Group,SEM,2024-09-09,YC_Awareness_Value_Jun22,Added 43 negative keywords,Created 3 new ad groups,99%,Implemented successfully,2024-09-09,Emma L.
Gamma Ventures,Social,2024-02-29,QK_Conversion_General_Mar23,Added 41 negative keywords,Created 3 new ad groups,89%,Under observation,2024-02-29,Sarah M.
Alpha Industries,SEM,2024-06-25,YD_Awareness_Seasonal_Jun24,Paused ad group Group 1 due to high CPA,Created 3 new ad groups,93%,Under observation,2024-06-25,Emma L.
Vector Partners,SEM,2024-01-06,NGX_Conversion_Special_Aug24,Paused creative Version 3 and launched new variant,Updated ad copy and CTAs,91%,Implemented successfully,2024-01-06,Emma L.
Beta Media,SEM,2024-09-04,VBI_Conversion_Premium_Q122,Decreased bid for age group 25-34 by -10%,Adjusted age targeting by +10%,86%,Under observation,2024-09-04,Alex K.
Echo Ventures,Social,2024-11-01,ESJ_Brand_Seasonal_Feb23,Paused creative Version 5 and launched new variant,Created 3 new ad variations,93%,Under observation,2024-11-01,Emma L.
Prime Direct,Social,2024-01-08,UWK_Awareness_Seasonal_Aug24,Added 37 negative keywords,Added 25 negative keywords,93%,Under observation,2024-01-08,John D.
Orion Systems,Social,2024-05-26,FSG_Retargeting_Value_Jun23,Updated CPA target from $98 to $53,Redistributed budget across campaigns,98%,Implemented successfully,2024-05-26,Mike R.
Core Global,SEM,2023-12-21,AYN_Engagement_Premium_Nov23,Paused creative Version 2 and launched new variant,Created 3 new ad variations,86%,Under observation,2023-12-21,Sarah M.
Sigma Solutions,SEM,2024-08-03,CL_Retargeting_Value_Jul24,Decreased bid for age group 65+ by -5%,Adjusted age targeting by +10%,99%,Under observation,2024-08-03,Sarah M.
Gamma Ventures,Social,2024-03-07,QK_Brand_Value_Aug22,Increased bid for top performing keywords by 25%,Adjusted age targeting by +10%,91%,Under observation,2024-03-07,John D.
Vector Direct,SEM,2024-01-02,NRI_Retargeting_Value_Mar22,Created 2 new ad variations for testing,Updated ad copy and CTAs,85%,Under observation,2024-01-02,John D.
Beta International,SEM,2024-05-07,FX_Prospecting_Special_Jul22,Increased bid for top performing keywords by 20%,Modified CPC target from $5 to $6,100%,Under observation,2024-05-07,Mike R.
Gamma Brand,Bing,2024-10-24,FN_Brand_Seasonal_Jun24,Decreased bid for age group 65+ by -5%,Modified CPC target from $5 to $6,89%,Under observation,2024-10-24,John D.
Echo Brand,Bing,2023-12-30,BW_Prospecting_Seasonal_Feb22,Decreased bid for age group 18-24 by -10%,Adjusted age targeting by +10%,90%,Under observation,2023-12-30,Emma L.
Iris Group,Social,2024-02-15,YC_Engagement_Premium_Jan24,Created 4 new ad groups with focused keywords,Updated campaign targeting settings,89%,Under observation,2024-02-15,Emma L.
Apex Systems,Bing,2024-05-25,WZH_Conversion_Premium_Sep24,Created 3 new ad groups with focused keywords,Created 3 new ad groups,99%,Implemented successfully,2024-05-25,Emma L.
Omega Solutions,Social,2024-06-27,TO_Conversion_Premium_Nov24,Increased bid for top performing keywords by 20%,Modified CPC target from $5 to $6,98%,Under observation,2024-06-27,Alex K.
Prime Direct,Bing,2024-10-20,UWK_Brand_Value_Sep24,Paused ad group Group 4 due to high CPA,Updated campaign targeting settings,87%,Under observation,2024-10-20,Emma L.
Iris Group,SEM,2024-02-08,YC_Conversion_Special_Aug24,Updated CPA target from $51 to $86,Redistributed budget across campaigns,94%,Under observation,2024-02-08,Alex K.
Beta Global,Social,2024-08-11,BPN_Retargeting_Value_Dec23,Increased bid for top performing keywords by 20%,Modified CPC target from $5 to $6,93%,Under observation,2024-08-11,Alex K.
Iris Group,Social,2024-10-27,YC_Brand_General_Mar23,Increased bid for top performing keywords by 20%,"Previous bid: $1.50, New bid: $2.00",87%,Under observation,2024-10-27,Mike R.
Peak Technologies,Social,2024-10-08,XF_Prospecting_Value_Q322,Paused creative Version 2 and launched new variant,Created 3 new ad variations,87%,Implemented successfully,2024-10-08,Alex K.
Beta Media,SEM,2024-08-23,VBI_Retargeting_Seasonal_Feb24,Created 2 new ad variations for testing,Created 3 new ad variations,90%,Under observation,2024-08-23,Emma L.
Beta International,Bing,2024-10-05,FX_Prospecting_General_Q422,Updated CPA target from $58 to $31,Daily budget adjusted from $200 to $300,89%,Under observation,2024-10-05,John D.
Nexus Holdings,Social,2024-03-10,LH_Retargeting_Value_Q124,Increased bid for top performing keywords by 10%,Adjusted age targeting by +10%,91%,Under observation,2024-03-10,Emma L.
Apex Select,SEM,2023-12-05,LYY_Conversion_General_Q222,Paused creative Version 4 and launched new variant,Updated ad copy and CTAs,100%,Under observation,2023-12-05,Emma L.
Vector Partners,Social,2024-09-10,NGX_Conversion_Premium_Q122,Updated CPA target from $21 to $33,Redistributed budget across campaigns,98%,Implemented successfully,2024-09-10,Alex K.
Echo Brand,Social,2024-06-15,BW_Prospecting_Special_Jan22,Created 3 new ad variations for testing,Created 3 new ad variations,85%,Under observation,2024-06-15,Mike R.
Beta Global,SEM,2024-07-23,BPN_Retargeting_General_Apr22,Created 5 new ad variations for testing,Updated ad copy and CTAs,85%,Under observation,2024-07-23,Sarah M.
Vector Holdings,Bing,2024-03-21,KO_Conversion_Special_May24,Created 5 new ad variations for testing,Created 3 new ad variations,94%,Implemented successfully,2024-03-21,Emma L.
Atlas Industries,Bing,2024-02-14,FR_Engagement_General_Jul22,Created 2 new ad variations for testing,Updated ad copy and CTAs,89%,Under observation,2024-02-14,Sarah M.
Core Global,Social,2024-08-02,AYN_Conversion_Seasonal_Sep23,Paused creative Version 5 and launched new variant,Created 3 new ad variations,85%,Under observation,2024-08-02,Mike R.
Quantum Select,SEM,2024-08-07,WZ_Conversion_Value_Q222,Paused ad group Group 3 due to high CPA,Created 3 new ad groups,88%,Under observation,2024-08-07,John D.
Gamma Direct,Social,2024-05-16,HP_Retargeting_Value_Mar22,Adjusted daily budget from $494 to $385,Redistributed budget across campaigns,89%,Implemented successfully,2024-05-16,Alex K.
Sigma Media,SEM,2024-07-15,RG_Awareness_Premium_Oct23,Paused creative Version 5 and launched new variant,Created 3 new ad variations,88%,Under observation,2024-07-15,John D.
Alpha Industries,Bing,2024-04-21,YD_Retargeting_Value_Jul24,Added 41 negative keywords,Updated campaign targeting settings,88%,Under observation,2024-04-21,Mike R.
Prime Direct,Social,2024-03-06,UWK_Awareness_Special_Q223,Increased bid for top performing keywords by 10%,Adjusted age targeting by +10%,95%,Under observation,2024-03-06,Sarah M.
Iris Group,Social,2024-06-23,YC_Engagement_Special_Jun24,Adjusted daily budget from $177 to $485,Redistributed budget across campaigns,92%,Under observation,2024-06-23,Emma L.
Atlas Industries,Bing,2024-08-14,FR_Prospecting_General_Q422,Paused creative Version 4 and launched new variant,Created 3 new ad variations,85%,Implemented successfully,2024-08-14,Alex K.
Beta Global,Social,2024-05-03,BPN_Retargeting_General_Mar24,Adjusted daily budget from $322 to $131,Redistributed budget across campaigns,86%,Under observation,2024-05-03,Sarah M.
Nexus International,Bing,2024-06-16,EF_Brand_Seasonal_Aug22,Created 4 new ad variations for testing,Updated ad copy and CTAs,85%,Implemented successfully,2024-06-16,Alex K.
Apex Select,SEM,2024-10-18,LYY_Engagement_Seasonal_Sep23,Created 4 new ad variations for testing,Updated ad copy and CTAs,91%,Implemented successfully,2024-10-18,John D.
Alpha Group,Bing,2024-06-10,DM_Awareness_Special_Jul24,Adjusted daily budget from $366 to $376,Redistributed budget across campaigns,91%,Under observation,2024-06-10,Alex K.
Omega Global,SEM,2023-12-05,PDD_Conversion_Special_May22,Added 47 negative keywords,Created 3 new ad groups,92%,Implemented successfully,2023-12-05,Mike R.
Apex Systems,Social,2024-06-01,WZH_Prospecting_Premium_Q323,Adjusted Desktop device bid by -15%,"Previous bid: $1.50, New bid: $2.00",88%,Under observation,2024-06-01,Alex K.
Gamma Brand,Bing,2024-03-23,OS_Awareness_Premium_Jun22,Adjusted daily budget from $279 to $253,Redistributed budget across campaigns,89%,Implemented successfully,2024-03-23,Alex K.
Vector Partners,Bing,2024-08-14,NGX_Prospecting_Seasonal_Sep24,Updated CPA target from $78 to $32,Daily budget adjusted from $200 to $300,98%,Implemented successfully,2024-08-14,John D.
Iris Group,Social,2024-01-29,YC_Retargeting_Seasonal_Q423,Created 2 new ad variations for testing,Updated ad copy and CTAs,97%,Under observation,2024-01-29,Alex K.
Beta International,Social,2024-10-14,FX_Retargeting_General_Dec23,Created 5 new ad variations for testing,Created 3 new ad variations,89%,Under observation,2024-10-14,Emma L.
